reference_type,author,year,title,publisher,volume,issue,pages,abstract,url,field,subcategory,keywords,journal
Journal Article,"L., Zhang Chen, H. Y., Liu, S. W., Chan, S. L.",2023,SECOND-ORDER ANALYSIS OF BEAM-COLUMNS BY MACHINE LEARNING-BASED STRUCTURAL ANALYSIS THROUGH PHYSICS-INFORMED NEURAL NETWORKS,Hong Kong Institute of Steel Construction,19,4,411–420,"The second-order analysis of slender steel members could be challenging, especially when large deflection is involved. This paper proposes a novel machine learning-based structural analysis (MLSA) method for second-order analysis of beam-columns, which could be a promising alternative to the prevailing solutions using over-simplified analytical equations or traditional finite-element-based methods. The effectiveness of the conventional machine learning method heavily depends on both the qualitative and the quantitative of the provided data. However, such data are typically scarce and expensive to obtain in structural engineering practices. To address this problem, a new and explainable machine learning-based method, named Physics-informed Neural Networks (PINN), is employed, where the physical information will be utilized to orientate the learning process to create a self-supervised learning procedure, making it possible to train the neural network with few or even no predefined datasets to achieve an accurat e approximation. This research extends the PINN method to the problems of second-order analysis of steel beam-columns. Detailed derivations of the governing equations, as well as the essential physical information for the training process, are given. The PINN framework and the training procedure are provided, where an adaptive loss weight control algorithm and the transfer learning technic are adopted to improve numerical efficiency. The practicability and accuracy of which are validated by four sets of ver ification examples. © 2024 Elsevier B.V., All rights reserved.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85183903194&doi=10.18057%2FIJASC.2023.19.4.10&partnerID=40&md5=265da7ccfa5f4abfe4d520b2a141b704,CE,Structural,Beam-columns; Physics-informed neural networks; Second-order analysis; Machine learning,Advanced Steel Construction
Journal Article,"Q. Y., Hu Chen, G., Wu, J.",2024,Comparative study on the prediction of the unconfined compressive strength of the one-part geopolymer stabilized soil by using different hybrid machine learning models,Elsevier Ltd,21,,,"With the development of green, low-carbon, and sustainable economic systems, the issues of high pollution and energy consumption in construction materials have become increasingly prominent. This study focuses on adopting one-part geopolymer (OPG) in soil stabilization for underground engineering, which exhibits environmental and low-carbon advantages. The unconfined compressive strength (UCS) serves as a crucial parameter for assessing stabilized soil's performance. However, it is necessary to conduct a large number of experiments, inducing high costs and time consumption. In this study, one multiple linear regression model, one Decision Tree (DT) model, five ensemble machine learning (ML) models (i.e. Random Forest [RF], Extra Tree [ET], Gradient Boosting [GB], Gradient Boosting Decision Tree [GBDT], and Extreme Gradient Boosting [XGBoost]), and hybrid models of those single ensemble models with Particle Swarm Optimization (PSO) (i.e. PSO-RF, PSO-ET, PSO-GB, PSO-GBDT, and PSO-XGBoost) were adopted and compared to achieve better prediction on the UCS of the OPG-stabilized soil. Furthermore, the interpretable method including SHAP and PDP (1D and 2D), was employed to investigate the precise mechanisms by which input parameters influenced the output label. The results revealed that the multiple linear regression model delivered the lowest accuracy, and PSO-XGBoost and PSO-ET exhibited the best performance on the prediction of the UCS with R2 value of 0.9964 and 0.9928, respectively. In addition, Curing time exerted the most significant impact on the UCS, followed by FA/GGBFS, Molarity, Water/Binder, and NaOH/Precursor. Compared to the SHAP method, the PDP offered a more intuitive approach to reveal the relationship between the inputs and output. The outcome of the study shed new light on the application of ML models in the prediction of the OPG-stabilized soil's performance in underground engineering.",,CE,Geotechnical,Ensemble learning; Hybrid machine learning; Unconfined compressive strength; One-part geopolymer; Interpretable machine learning,Case Studies in Construction Materials
Journal Article,"Y., Kadkhodaei Chen, M. H., Zhou, J.",2025,Development of the Optuna-NGBoost-SHAP model for estimating ground settlement during tunnel excavation,Elsevier B.V.,24,,60–78,"This study aims to develop and evaluate a natural gradient boosting (NGBoost) model optimized with Optuna for estimating ground settlement during tunnel excavation, incorporating Shapley additive explanations (SHAP) to perform interpretability analysis on the model's estimation results. The model's predictive performance was comprehensively assessed using datasets from two earth pressure balance shield tunneling projects in Changsha and Zhengzhou, China. Comparative analyses demonstrated the superior accuracy and generalization capability of the Optuna-NGBoost-SHAP model (training set: R2 = 0.9984, MAE = 0.1004, RMSE = 0.4193, MedAE = 0.0122; validation set: R2 = 0.9001, MAE = 1.3363, RMSE = 3.2992, MedAE = 0.3042; test set: R2 = 0.9361, MAE = 0.9961, RMSE = 2.5388, MedAE = 0.2147). SHAP value analysis quantitatively evaluated the contributions of input features to the model's estimations, identifying geometric factors (distance from the shield machine to the monitoring section and cover depth) as the most important features. The findings provide robust decision support for safety management during tunnel construction and demonstrate the reliability and efficiency of the Optuna-NGBoost-SHAP framework in estimating complex ground settlement scenarios. © 2025 Elsevier B.V., All rights reserved.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-105011379175&doi=10.1016%2Fj.undsp.2025.03.006&partnerID=40&md5=39cf28bd679e0127063954a4d06f924c,CE,Geotechnical,Ground settlement; Hyperparameter optimization; NGBoost; Estimation; Interpretable machine learning,Underground Space
Journal Article,"Z., Quan Chen, H., Jin, R., Lin, Z., Jin, G.",2024,"Debris flow susceptibility assessment based on boosting ensemble learning techniques: a case study in the Tumen River basin, China",Springer Science and Business Media Deutschland GmbH,38,6,2359–2382,"Debris flow has always been a serious problem in mountainous areas. Accurate debris flow susceptibility (DFS) assessment and interpretable prediction results play an important role in the prevention and control of debris flow disasters. Some commonly used machine learning algorithms based on Boosting ensemble techniques were widely used in the study of geohazard susceptibility due to its excellent predictive ability. However, the Categorical Boosting (CatBoost) and Natural Gradient Boosting (NGBoost) have not yet been applied in the field of DFS assessment, and few geohazard studies systematically compare and research these boosting-based algorithms. Meanwhile, previous researches have mostly focused on comparing the predictive ability of algorithms, identifying the susceptibility zones of the entire study area, and ranking the importance of the indicators, but little thorough analysis of the relationship between the indicators and debris flow susceptibility on different types of construction land. The aims of this study were to explore the optimal boosting-based DFS model, and the distribution characteristics and change rules of DFS in the study area, so as to provide decision supports for debris flow disaster prevention and reduction. This was the first time that six boosting-based machine learning algorithms have been compared in the study of DFS assessment. After determining the optimal model, the change rules of indicators in the entire study area and two types of construction lands under different DFS levels were studied respectively. An eXplainable Artifcial Intelligence (XAI) method called SHapley Additive exPlantations (SHAP), combined with zonal statistics function in geographic information system (GIS) were adopted to explore how each indicator affects the occurrence of debris flows. The results showed that the CatBoost performed best and provided the most reasonable DFS result among six boosting-based models. We found that debris flows were more likely to occur along rivers and construction lands at low altitude. Rural areas faced more stronger pressure from rainfall and were featured by worse disaster-breeding environment than urban areas. This research enriches the application of machine learning in DFS assessment, explores the changing trends of indicators between different DFS levels, and provides suggestions for better debris flow disaster prevention and mitigation management. © 2024 Elsevier B.V., All rights reserved.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85186470060&doi=10.1007%2Fs00477-024-02683-6&partnerID=40&md5=8aaa484cf2740e05de2b5ab3fc37ffb5,CE,GIS / Remote Sensing,Debris flow susceptibility; Ensemble learning technique; The Tumen River basin; CatBoost; Disaster management,Stochastic Environmental Research and Risk Assessment
Journal Article,"B., Mei Cheng, L., Long, W. J., Kou, S., Li, L., Geng, S.",2023,Ai-guided proportioning and evaluating of self-compacting concrete based on rheological approach,Elsevier Ltd,399,,,"Self-Compacting Concrete (SCC) has gained significant popularity due to its exceptional workability performance. However, designing SCC poses more challenges than ordinary concrete, as it must fulfill requirements for filling ability, passing ability, and segregation resistance. Regrettably, existing test techniques lack the ability to simultaneously evaluate all these properties, and relying on experiential knowledge and cognition without tangible physical meaning. Although rheology examines the flow and deformation of fluid materials and is closely related to SCC's properties, the relationship between SCC composition, rheology, and properties remains unclear due to the complexity of the factors involved and the absence of effective tools. This study introduces a novel approach by utilizing a random forest algorithm to create multiple interpretable machine learning models for predicting the rheology, workability, and mechanical properties of SCC. Additionally, SHapley Additive exPlanation (SHAP) and Partial Dependence Plot (PDP) methods were integrated with the models to analyze how SCC composition impacts its properties by altering the rheology of the mixture. The models exhibit high accuracy in predicting both rheology and SCC properties (R2 = 0.93 ∼ 0.98, Index of Agreement = 0.92 ∼ 0.99). According to the SHAP and PDP analysis, yield stress and plastic viscosity were negatively correlated with slump flow, L-box ratio, and segregation rate, while exhibiting a positive correlation with V-funnel time and strength. Furthermore, the dependence of the segregation rate on yield stress was observed to be stronger at relatively low yield stress levels (below 40 Pa). These models provide valuable insights for designing and evaluating SCC mixtures tailored to specific requirements. Additionally, the study explores underlying mechanisms and offers guidelines for proportioning SCC in different design scenarios. The findings contribute to the advancement of SCC technology and have significant implications for the construction industry. © 2023 Elsevier B.V., All rights reserved.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85166324348&doi=10.1016%2Fj.conbuildmat.2023.132522&partnerID=40&md5=19a4c2911304deab8a89c2346cc881ed,CE,Materials,Self-compacting concrete; Rheological parameters; Workability; Strength; Partial Dependence Plot; SHapley Additive explanation,Construction and Building Materials
Journal Article,"Min-Yuan, Khitam Akhmad Cheng, F. K.",2024,Novel Optical-Inspired Rain Forest for the Explainable Prediction of Geopolymer Concrete Compressive Strength,American Society of Civil Engineers (ASCE),38,6,4024035,"Geopolymer concrete (GPC) is an extraordinary material for promoting sustainable development in the construction industry and reducing environmental risk. However, material properties, such as compressive strength, are commonly determined using laboratory experiments, which are costly and time-consuming to run. Therefore, optical-inspired rain forest (ORF), a sophisticated predictive model, was developed to offer an alternative mathematical solution. The developed model uses a novel mechanism that grows an operation tree into multiple operation forests and employs an optical microscope algorithm to optimize the weight and forest topology. The experimental results indicate that the proposed model outperformed several other popular artificial intelligence approaches, achieving the highest evaluation criteria of RI=0.973 and RI=0.979, respectively, for training and testing data sets. Hence, ORF is recommended as a viable tool to assist material engineers to significantly increase the utilization of GPC in construction projects.",https://doi.org/10.1061/JCCEE5.CPENG-5956,CE,Materials,Geopolymer concrete (GPC); Compressive strength; Machine learning; Operation tree; Concrete properties,Journal of Computing in Civil Engineering
Journal Article,"D., Seo Choi, S., Park, H., Hong, T., Koo, C.",2023,Forecasting personal learning performance in virtual reality-based construction safety training using biometric responses,Elsevier B.V.,156,,,"During virtual reality-based safety training, it is necessary to immediately and objectively evaluate personal learning performance. In light of this, this study proposed an interpretable machine learning approach for forecasting personal learning performance in VR-based construction safety training using real-time biometric responses. During VR-based safety training (‘fall accidents on scaffolding’), eye-tracking and EEG data were collected in real time from 30 participants (i.e., construction workers). The main findings can be summarized as follows. Compared to the full forecast model (FM), the support vector regression algorithm of the simplified forecast model (SM), which considers only principal features as independent variables, demonstrated better prediction performance (i.e., accuracy improvement: 0.087 of mean absolute error, overfitting: one-third level of the FM). This study creates new ground in the field of personalized safety training by enabling real-time monitoring and diagnosis for the cognitive states (i.e., learning performance) of construction workers during VR-based construction safety training. © 2023 Elsevier B.V., All rights reserved.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85173272856&doi=10.1016%2Fj.autcon.2023.105115&partnerID=40&md5=a5f694afa6f0fa89358e1c7679c1dc17,CEM,Safety,VR-based construction safety training; Learning performance; Forecast model; Biometric response; Machine learning algorithm; Construction worker,Automation in Construction
Journal Article,"F. C., Ringsquandl Collins, M., Braun, A., Hall, D. M., Borrmann, A.",2022,Shape encoding for semantic healing of design models and knowledge transfer to scan-to-BIM,ICE Publishing,175,4,160–180,"Automated parsing of design data will increasingly be a prerequisite for efficient data- and analytics-driven management of building portfolios. The high complexity and low rigidity of building information modelling (BIM) model exchange standards such as Industry Foundation Classes result in considerable differences in data quality and impede direct data availability for analytics-based decision support. Mis- or unclassified building elements are a common issue and can lead to tedious manual reworks. At the same time, scan-to-BIM processes still require considerable manual effort to identify subclass element geometry. This work leverages the benefits of a three-dimensional lightweight, geometric algorithm to generate meaningful geometric features autonomously that assist shape classification in erroneous design models and pre-segmented point clouds. Geometric deep learning is introduced in two steps; a discussion about the benefits of graph convolutional networks (GCNs) is given before a set of experiments on BIM element data sets is conducted. Utilising explainable artificial intelligence methods, the GCN performance is made suitable for human-algorithm interaction. Leveraging element geometry solely, the classification reaches a promising average performance of above 83% for the model-healing task with a reduced computation time. The encoded geometric knowledge from the design models is shown to be helpful in showcasing examples of segment classification in point clouds. © 2023 Elsevier B.V., All rights reserved.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85147135752&doi=10.1680%2Fjsmic.21.00032&partnerID=40&md5=37111da10ab06134e4df0affcffcd741,CEM,"Digital Construction (BIM, AI, Sensors, Robotics)","artificial intelligence; Building Information Modelling (BIM); modelling; UN SDG 9: Industry, innovation and infrastructure",Proceedings of the Institution of Civil Engineers – Smart Infrastructure and Construction
Journal Article,"P. F., Abdel-Aty Cui, M., Wang, C. Z., Yang, X. B., Song, D. D.",2025,Examining the impact of spatial inequality in socio-demographic and commute patterns on traffic crash rates: Insights from interpretable machine learning and spatial statistical models,Elsevier Ltd,167,,222–245,"Traffic crash rates are often closely related to the region's socio-demographic, commuting behavior, motivated by the risks associated with increased region density and excessive congestion. However, crash rates of different severities may vary considerably due to socio-spatial disparities and the mitigation behaviors adopted across regions. Thus, this study elucidates the intricate effects of socio-demographic dynamics and commuting behavior on overall and fatal traffic crash rates across Florida's counties, with particular emphasis on the underlying factors of spatial inequality. Employing an interpretable machine learning model, specifically eXtreme Gradient Boosting (XGBoost), we demonstrate its superiority in detecting spatial heterogeneity and the complex effects of various factors compared to traditional spatial statistical models, e.g. Spatial Lag Model (SLM) and Multiscale Geographically Weighted Regression model (MGWR). A comprehensive simulation experiment was designed to validate the dependability of modeled fittings, which confirms XGBoost as a reliable alternative to conventional spatial statistical models, particularly when dealing with datasets that including complex effects including spatial lag, spatial heterogeneity, non-linear effects and potential interaction effects. Furthermore, the totally empirical findings for Florida reveal the spatial variations in overall and fatal crash rates, correlating significantly with socio-demographic and commute pattern variables. An endogeneity test has been conducted initially for empirical datasets, accompanied by strategies to eliminate the biasing effect of endogenous variables on subsequent modeling process. Finally, key variables include population demographics, commute duration, education levels, unemployment rates, and intersection density produce heterogeneous effects on overall and fatal traffic crash rates. Notably, the study dispels the conventional belief that higher overall crash rates directly correlate with higher fatal crash rates in the same regions, underscoring the importance of distinct analysis. Policy measures should focus on improving accessibility to road infrastructure and healthcare services, with tailored approaches for sparse and densely populated areas. These findings underscore the need to address spatial inequalities in transportation infrastructure and policy measures to reduce traffic crash rates and improve road safety across all regions.",,CE,Transportation,Traffic crash rates; Socio-demographic; Commute patterns; Spatial inequality; Endogeneity; Simulated experiment; Interpretable ML,Transport Policy
Journal Article,"S., Zhang Dai, J., Huang, Z., Zeng, S.",2025,Fire Prediction and Risk Identification With Interpretable Machine Learning,John Wiley and Sons Ltd,44,5,1699–1715,"Fire safety is a primary concern in safeguarding lives and property. However, it is challenging to predict fire incidents and identify potential influencing factors due to limitations of data, model accuracy and interpretability. This paper proposes a novel scheme designed to enhance predictive and explainable capabilities by integrating multi-source data, adaptive machine learning methods, and Shapley additive explanation (SHAP) tools for more effective and applicable fire safety management. The scheme shows satisfactory prediction results by leveraging the data from grid-style management systems and our proposed machine learning method with dynamic time warping distance-based time series clustering, significantly outperforming the methods merely based on time series modeling. Moreover, clustered features help to clarify the main influencing risk factors and provide clearer insights for model interpretability. With global SHAP, community clusters capturing community fire event frequency, as well as historical records on fire police rescue, smoke alarms, and fire alarms, are found to be significant risk factors among all the features over the whole communities and periods via the model interpretability analysis, implying that communities where fires used to occur frequently are more likely to occur in future, which should be highly vigilant in real fire management. With local SHAP, specific risk factors that vary across communities can be identified for any single community with a given period. We demonstrate the potential of this integrated machine learning scheme in improving the prediction accuracy and risk identification applicability of fire incidents, which contributes to more effective and customized fire safety management. © 2025 Elsevier B.V., All rights reserved.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-86000241155&doi=10.1002%2Ffor.3266&partnerID=40&md5=60aaa9840ae7b49b470f217a27c12587,CEM,Safety,Fire prediction; machine learning; model interpretability; risk identification; time series clustering,Journal of Forecasting
Journal Article,"T. A., Kerkez Dantzer, B.",2024,Generating interpretable rainfall-runoff models automatically from data,Elsevier Ltd,193,,,"A sudden surge of data has created new challenges in water management, spanning quality control, assimilation, and analysis. Few approaches are available to integrate growing volumes of data into interpretable results. Process-based hydrologic models have not been designed to consume large amounts of data. Alternatively, new machine learning tools can automate data analysis and forecasting, but their lack of interpretability and reliance on very large data sets limits the discovery of insights and may impact trust. To address this gap, we present a new approach, which seeks to strike a middle ground between process-, and data-based modeling. The contribution of this work is an automated and scalable methodology that discovers differential equations and latent state estimations within hydrologic systems using only rainfall and runoff measurements. We show how this enables automated tools to learn interpretable models of 6 to 18 parameters solely from measurements. We apply this approach to nearly 400 stream gaging sites across the US, showing how complex catchment dynamics can be reconstructed solely from rainfall and runoff measurements. We also show how the approach discovers surrogate models that can replicate the dynamics of a much more complex process-based model, but at a fraction of the computational complexity. We discuss how the resulting representation of watershed dynamics provides insight and computational efficiency to enable automated predictions across large sensor networks.",,CE,Water,Model discovery; Rainfall-Runoff; Dynamical systems; Explainable AI; Surrogate modeling; Data-driven,Advances in Water Resources
Journal Article,"S., Datta Das, S., Zubaidi, H. A., Obaid, I. A.",2021,Applying interpretable machine learning to classify tree and utility pole related crash injury types,Elsevier Ltd,45,3,310–316,"In spite of enormous improvements in vehicle safety, roadway design, and operations, there is still an excessive amount of traffic crashes resulting in injuries and major productivity losses. Despite the many studies on factors of crash frequency and injury severity, there is still further research to be conducted. Tree and utility pole/other pole related (TUOP) crashes present approximately 12 to 15% of all roadway departure (RwD) fatal crashes in the U.S. The count of TUOP crashes comprise nearly 22% of all fatal crashes in Louisiana. From 2010 to 2016, there were 55,857 TUOP crashes reported in Louisiana. Individually examining each of these crash reports is not a realistic option to investigate crash factors. Therefore, this study employed text mining and interpretable machine learning (IML) techniques to analyze all TUOP crashes (with available crash narratives) that occurred in Louisiana from 2010 to 2016. This study has two major goals: 1) to develop a framework for applying machine learning models to classify injury levels from unstructured textual content, and 2) to apply an IML framework that provides probability measures of keywords and their association with the injury classification. The present study employed three machine learning algorithms in the classification of injury levels based on the crash narrative data. Of the used modeling techniques, the eXtreme gradient boosting (XGBoost) model shows better performance, with accuracy ranging from 0.70 to 24% for the training data and from 0.30% to 16% for the test data. © 2021 Elsevier B.V., All rights reserved.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85102086545&doi=10.1016%2Fj.iatssr.2021.01.001&partnerID=40&md5=65b7072b6b42fbd1ee3da4e4fb201dcd,CE,Transportation,TUOP crashes; Crash narratives; Text mining; Interpretable machine learning; Misclassification; Explanation,IATSS Research
Journal Article,"T., Talukdar Das, S., Shahfahad,, Naikoo, M. W., Ahmed, I. A., Rahman, A., Islam, M. K., Alam, E.",2024,Integration of fuzzy AHP and explainable AI for effective coastal risk management: A micro-scale risk analysis of tropical cyclones,Elsevier Ltd,23,,,"The east coast of India, especially the coastal region of Odisha, is highly threatened by tropical cyclones. This study develops a detailed risk map for tropical cyclones in the coastal districts of Odisha at the micro level, focusing on the assessment of risk factors at the block level. Using a multi-criteria decision making (MCDM) approach, the study considers four primary risk components: Exposure, vulnerability, susceptibility, and mitigation options. The Explainable Artificial Intelligence (XAI) framework, which uses the XGBoost model in conjunction with SHAP values, is applied to identify and elucidate the factors influencing risk levels in 69 blocks. Results indicate that about 65% of the area is at high risk to tropical cyclone, especially in the northeastern and central regions. In particular, 32 blocks are classified as high to very high-risk zones. The study shows a contrast in risk levels, with blocks in the northeast and southeast at higher risk, while blocks in the southern regions such as Ganjam and Puri and in the central parts of Kendrapara and Baleswar districts are at lower risk. The findings from this study are crucial for local authorities to identify vulnerable areas and improve cyclone preparedness and risk management strategies in Odisha.",,CE,Water,Tropical cyclone risk; Multi-criteria decision-making; Explainable AI approach; XGBoost model; Coastal areas; Block level analysis,Progress in Disaster Science
Journal Article,"Jjfg, Koks De Plaen, E. E., Ward, P. J.",2024,Towards an open pipeline for the detection of critical infrastructure from satellite imagery-a case study on electrical substations in The Netherlands,IOP Publishing Ltd,4,3,,"Critical infrastructure (CI) are at risk of failure due to the increased frequency and magnitude of climate extremes related to climate change. It is thus essential to include them in a risk management framework to identify risk hotspots, develop risk management policies and support adaptation strategies to enhance their resilience. However, the lack of information on the exposure of CI to natural hazards prevents their incorporation in large-scale risk assessments. This study sets out to improve the representation of CI for risk assessment studies by building a neural network model to detect CI assets from optical remote sensing imagery. We present a pipeline that extracts CI from OpenStreetMap, processes the imagery and assets' masks, and trains a Mask R-CNN model that allows for instance segmentation of CI at the asset level. This study provides an overview of the pipeline and tests it with the detection of electrical substations assets in the Netherlands. Several experiments are presented for different under-sampling percentages of the majority class (25%, 50% and 100%) and hyperparameters settings (batch size and learning rate). The highest scoring experiment achieved an Average Precision at an Intersection over Union of 50% of 30.93 and a tile F-score of 89.88%. This allows us to confirm the feasibility of the method and invite disaster risk researchers to use this pipeline for other infrastructure types. We conclude by exploring the different avenues to improve the pipeline by addressing the class imbalance, Transfer Learning and Explainable Artificial Intelligence.",,CE,GIS / Remote Sensing,critical infrastructure; instance segmentation; CNN; machine learning; remote sensing,Environmental Research: Infrastructure and Sustainability
Journal Article,"K. Aksu, H. Demirel",2024,Extracting Structural Elements From 3D Point Clouds in Indoor Environments via Machine Learning Techniques,Institute of Electrical and Electronics Engineers Inc.,12,,94461–94476,"The utilization of three-dimensional point clouds is an advanced approach for detecting the geometry of objects within a building environment. Nonetheless, a vast amount of data still needs to be manually processed. Intelligent automation frameworks could be deployed to overcome such issues. Hence, this study proposes a machine learning-based framework for successfully classifying structural components in indoor environments. The proposed framework consists of four stages: pre-processing, feature extraction, feature selection, and interpretability of classification results using an explainable machine learning method. According to the proposed framework, the chi-squared test stands out for optimum local neighborhood radius determination and feature selection. The CatBoost model has the highest accuracy of 82.96%, whereas the Random Forest model’s accuracy is 82.09%. However, the training time for the Random Forest is 27 times shorter than the CatBoost. Hence, both models could be preferred to other machine learning models for practical applications due to the good balance between accuracy and calculation efficiency. Additionally, the model with the highest accuracy, CatBoost, is evaluated using the Shapley Additive exPlanations to understand the impacts of features on predictions, and according to the results, Z coordinate and verticality had a relatively high impact on the model, while others had low impacts. The proposed framework uses machine learning to classify indoor point clouds, balancing processing time and accuracy for computational efficiency in practical applications. Hence, the framework could be utilized to automate the digitalization efforts of indoor environments effectively.",,CE,GIS / Remote Sensing,3D point cloud; classification; explainable machine learning; indoor environment; local neighborhood; machine learning; structural element; terrestrial laser scanning,IEEE Access
Journal Article,"G. W., Choudhary Deressa, B. S.",2025,Evaluating Productivity in Opencast Mines: A Machine Learning Analysis of Drill-Blast and Surface Miner Operations,Springer Nature,34,1,215–251,"Productivity in opencast mining, particularly in drill-blast (DB) and surface miner (SM) operations, is crucial for optimizing efficiency and reducing costs. These operations are directly affected by fragmentation, which in turn impacts equipment utilization, loading cycle times, and downstream operations. This study analyzed field data such as rock properties, machine parameters, blast design results, and post-blast fragmentation size (0.15-0.82 m), with 0.45 m identified as the optimal fragmentation size for a 12 m3 shovel bucket. Traditional productivity assessments often use simplistic models that fail to capture the complexities of mining operations. To address this, an explainable machine learning (ML) model was developed, integrating fragmentation size, rock and machine parameters, and geometric factors to evaluate DB and SM operations in opencast coal mines. Various ML techniques, such as artificial neural network (ANN), random forest regression (RFR), gradient boosting regressor (GBT), and support vector regression (SVR), were employed to analyze these parameters. Among these, the RFR model demonstrated the highest accuracy, with a coefficients of determination (R2) of 99.5% for training and 99.2% for testing in DB datasets, and 99.9% for training and 99.5% for testing in SM datasets. Furthermore, the RFR model had the lowest root mean square error, mean absolute error, and mean absolute percentage error of 10.35, 4.788, and 2.1% for DB training datasets, and 5.53, 1.75, and 1.5% for SM training datasets, respectively, underscoring its superior performance. Using SHAP (Shapley Additive exPlanations), the study identified key productivity drivers: SM cycle time, diesel consumption, and coal face length. Fragmentation size, resulting from blasting, was also found to influence shovel efficiency and overall productivity significantly. This paper highlights the effectiveness of ensemble ML models in predicting and analyzing complex productivity dynamics in opencast mining.",,CE,Geotechnical,NaN,Natural Resources Research
Journal Article,"M., Williams Di Bacco, J. H., Sugawara, D., Scorzini, A. R.",2024,Towards multi-variable tsunami damage modeling for coastal roads: Insights from the application of explainable machine learning to the 2011 Great East Japan Event,Elsevier Ltd,115,,,"The accurate assessment of tsunami-induced damage to coastal roads is crucial for effective disaster risk management. Traditional approaches, reliant on univariate fragility functions, often fail to capture the complex interplay of variables influencing road damage during tsunami events. This study addresses this limitation by employing machine learning techniques on an extensive dataset compiled after the 2011 Great East Japan tsunami. The dataset, enriched with additional explicative variables accounting for the hydraulic features of the event and the physical characteristics at roads’ location, enables a comprehensive analysis of road damage mechanisms. Results indicate that while inundation depth remains a significant predictor, factors such as wave approach angle, road orientation and potential overflow from inland watercourses also play critical roles. © 2024 Elsevier B.V., All rights reserved.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85205346787&doi=10.1016%2Fj.scs.2024.105856&partnerID=40&md5=daa301e2ffcd6c24322ae5929e4d8e24,CE,Transportation,RoadDamage; Tsunami; Machine learning; Multi-variable; Fragility function; Uncertainty,Sustainable Cities and Society
Journal Article,Ao Du,2024,Data-Driven Telecommunication Outage Prediction during Hurricane Events,American Society of Civil Engineers,10,3,04024046,"Telecommunication infrastructure (TI) has become an indispensable part in modern society, and its functionality is especially vital to emergency response during hurricanes. This study bridges the gap of lack of quantitative TI outage prediction models during hurricane events. County-level TI outage and power outage time-series and demographic data across eight continental US states during 10 recent hurricane events are collected. Two types of TI outage prediction models, namely, time-independent and time-dependent models, are developed. The time-independent model is intended for rapid prehurricane preparation or posthurricane outage evaluation, and is based on the partial least-squares regression technique. Relative predictor importance is also quantified via the Shapley additive explanations for better model interpretability. Moreover, to offer temporal TI outage prediction as the hurricane unfolds in real time, the time-dependent TI outage prediction model was developed, which leverages recent advances in recurrent neural networks such as the long short-term memory (LSTM) and bidirectional LSTM networks. The time-dependent model is able to handle time-series data and offers sequential TI outage prediction as new observations become available. Comprehensive model predictive performance evaluation is carried out and the explanatory power of different predictor combinations are examined. The proposed data-driven models can offer the much-needed quantitative and rapid TI outage prediction during hurricane events.",https://doi.org/10.1061/AJRUA6.RUENG-1285,CE,Environmental,Telecommunication infrastructure (TI) outages; Hurricanes; Power outages; Demographic data; Data-driven telecom outage predictive models,"ASCE-ASME Journal of Risk and Uncertainty in Engineering Systems, Part A: Civil Engineering"
Journal Article,"S., Kurth Dulin, M., Betz, T., Robaszewski, J., Grussing, M., Linkov, I.",2025,Predicting mold severity in buildings using interpretable machine learning,Elsevier Ltd,112,,,"This study addresses the challenge of mold prevention in built environments through a machine learning approach for portfolio-wide severity prediction utilizing existing facility management datasets. While mold exposure is associated with respiratory health complications and substantial economic burden, contemporary prediction methodologies predominantly rely on micro-climate specific models requiring detailed hygrothermal data from environmental monitoring systems. Traditional approaches—such as experimentally derived growth functions or deterministic numerical models—produce surface-level mold growth indices for specific materials but provide limited insight into building-wide mold severity at portfolio scale. We demonstrate that a Light Gradient Boosting Machine (LightGBM) framework with SHapley Additive exPlanations (SHAP) techniques can effectively predict mold severity across building portfolios using U.S. Army Corp's (USACE) Sustainment Management System (SMS) data. Analysis revealed several key predictors of mold severity, such as the air changes per hour of the air handlers, the tonnage of the air condensers, how much a building was inspected, and the age of the building. Residential and storage structures also exhibited higher susceptibility to mold and moisture issues. This methodological approach offers a transition from material-specific assessments toward building-wide preventative strategies that complement established facility management protocols. The model provides interpretable insights that inform building science applications through identification of structural and operational determinants of mold development, supporting more efficient resource allocation for remediation across diverse building portfolios. © 2025 Elsevier B.V., All rights reserved.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-105014169541&doi=10.1016%2Fj.jobe.2025.113901&partnerID=40&md5=cc60b73482ebdeef1f259e2ffdd74850,CE,Environmental,NaN,Journal of Building Engineering
